file,line,type,field,id,priority
stops,13949,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_south_faregate_paid_area,MEDIUM
stops,14293,SuspectStopLocationError,stop_id,33036_node_stair_south_south_platform,MEDIUM
stops,13902,SuspectStopLocationError,stop_id,33034_boarding_b_sb_2,MEDIUM
stops,14106,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_upper_ramp_ne_unpaid_area,MEDIUM
stops,12553,SuspectStopLocationError,stop_id,31033_node_escalator_4_&_5_street,MEDIUM
stops,14158,SuspectStopLocationError,stop_id,33034_node_t_platform_l_east_stair_landing,MEDIUM
stops,14155,SuspectStopLocationError,stop_id,33034_node_l_platform_wb_w4_landing,MEDIUM
stops,12523,SuspectStopLocationError,stop_id,31033_boarding_track_1_boarding_area_south,MEDIUM
stops,12566,SuspectStopLocationError,stop_id,31033_node_main_hall_perimeter_northeast,MEDIUM
stops,12602,SuspectStopLocationError,stop_id,15497_boarding_west_terminal_island_south,MEDIUM
stops,12587,SuspectStopLocationError,stop_id,31033_node_stair_a_street,MEDIUM
stops,14207,SuspectStopLocationError,stop_id,33035_node_mezzanine_paid_central_north,MEDIUM
stops,14248,SuspectStopLocationError,stop_id,33035_node_platform_stair_trolley_eastbound,MEDIUM
stops,14142,SuspectStopLocationError,stop_id,33034_node_l_platform_wb_corridor_4_to_b_mezzanine,MEDIUM
stops,14084,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_pe14_landing,MEDIUM
stops,14072,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_junction_se_paid_area,MEDIUM
stops,13987,SuspectStopLocationError,stop_id,33034_node_b_platform_south_end_broad_st_concourse_stair_landing_sb,MEDIUM
stops,12606,SuspectStopLocationError,stop_id,20845_boarding_westbound_dropoff_central,MEDIUM
stops,14099,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_sec_paid_area,MEDIUM
stops,14060,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_faregate_ec_unpaid_area,MEDIUM
stops,12580,SuspectStopLocationError,stop_id,31033_node_paid_area_junction_main_hall,MEDIUM
stops,12608,SuspectStopLocationError,stop_id,20845_boarding_westbound_dropoff_west,MEDIUM
stops,12618,SuspectStopLocationError,stop_id,31034_node_east_stairs_top,MEDIUM
stops,13953,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_south_paid_corridor_s2_stair_top,MEDIUM
stops,13989,SuspectStopLocationError,stop_id,33034_node_broad_st_concourse_rotogate_west_unpaid_area,MEDIUM
stops,14241,SuspectStopLocationError,stop_id,33035_node_platform_elevator_trolley_eastbound,MEDIUM
stops,12575,SuspectStopLocationError,stop_id,31033_node_north_island_crosswalk,MEDIUM
stops,12546,SuspectStopLocationError,stop_id,31033_node_entrance_to_north_island,MEDIUM
stops,14277,SuspectStopLocationError,stop_id,33036_node_exitgate_central_west_unpaid,MEDIUM
stops,12623,SuspectStopLocationError,stop_id,31034_node_l1_lobby,MEDIUM
stops,14160,SuspectStopLocationError,stop_id,33034_node_t_platform_pe12_landing,MEDIUM
stops,12568,SuspectStopLocationError,stop_id,31033_node_main_hall_south_junction,MEDIUM
stops,14178,SuspectStopLocationError,stop_id,33035_boarding_westbound_platform_1,MEDIUM
stops,14144,SuspectStopLocationError,stop_id,33034_node_l_platform_wb_junction_east,MEDIUM
stops,14272,SuspectStopLocationError,stop_id,33036_node_escalator_north_platform,MEDIUM
stops,14201,SuspectStopLocationError,stop_id,33035_node_mezzanine_30th_street_southwest_stair,MEDIUM
stops,12601,SuspectStopLocationError,stop_id,15497_boarding_west_terminal_island_north,MEDIUM
stops,14278,SuspectStopLocationError,stop_id,33036_node_exitgate_north_east_paid,MEDIUM
stops,12638,SuspectStopLocationError,stop_id,31034_node_main_and_west_concourses_junction,MEDIUM
